"","datasize","algo","variable","iter"
"509",40000,"OEMVR","X3",9273
"510",45000,"OEMVR","X3",9831
"511",50000,"OEMVR","X3",9272
"512",55000,"OEMVR","X3",9663
"513",60000,"OEMVR","X3",15647
"514",65000,"OEMVR","X3",12818
"515",70000,"OEMVR","X3",18211
"516",75000,"OEMVR","X3",14470
"517",80000,"OEMVR","X3",13410
"518",85000,"OEMVR","X3",15911
"519",90000,"OEMVR","X3",17178
"520",95000,"OEMVR","X3",14626
"521",1e+05,"OEMVR","X3",17295
"522",105000,"OEMVR","X3",17118
"523",1000,"OEMVR","X4",387
"524",2000,"OEMVR","X4",2249
"525",3000,"OEMVR","X4",1215
"526",4000,"OEMVR","X4",1259
"527",5000,"OEMVR","X4",2223
"528",6000,"OEMVR","X4",2250
"529",7000,"OEMVR","X4",2899
"530",8000,"OEMVR","X4",2223
"531",9000,"OEMVR","X4",2665
"532",10000,"OEMVR","X4",2976
"533",15000,"OEMVR","X4",3554
"534",20000,"OEMVR","X4",8443
"535",25000,"OEMVR","X4",5161
"536",30000,"OEMVR","X4",7127
"537",35000,"OEMVR","X4",8332
"538",40000,"OEMVR","X4",6812
"539",45000,"OEMVR","X4",9860
"540",50000,"OEMVR","X4",10687
"541",55000,"OEMVR","X4",10285
"542",60000,"OEMVR","X4",11228
"543",65000,"OEMVR","X4",12977
"544",70000,"OEMVR","X4",16809
"545",75000,"OEMVR","X4",25937
"546",80000,"OEMVR","X4",12294
"547",85000,"OEMVR","X4",9586
"548",90000,"OEMVR","X4",18386
"549",95000,"OEMVR","X4",13642
"550",1e+05,"OEMVR","X4",12697
"551",105000,"OEMVR","X4",17400
"552",1000,"OEMVR","X5",631
"553",2000,"OEMVR","X5",577
"554",3000,"OEMVR","X5",1035
"555",4000,"OEMVR","X5",2734
"556",5000,"OEMVR","X5",1974
"557",6000,"OEMVR","X5",2444
"558",7000,"OEMVR","X5",2103
"559",8000,"OEMVR","X5",4469
"560",9000,"OEMVR","X5",3353
"561",10000,"OEMVR","X5",2264
