rep,id,eta_p0,eta_alpha,eta_tau
1,54,0.000000,-0.055590,2.680069
2,54,0.000000,-0.055590,2.680069
3,54,0.000000,-0.078966,2.422458
4,54,0.000000,-0.026051,2.499326
5,54,0.000000,-0.055318,2.595391
6,54,0.000000,-0.056306,2.500767
7,54,0.000000,-0.071692,2.607253
8,54,0.000000,-0.074544,2.358323
9,54,0.000000,-0.087969,2.358323
10,54,0.000000,-0.049554,2.250601
1,55,0.000000,0.607451,-7.661108
2,55,0.000000,0.607451,-7.661108
3,55,0.000000,0.631858,-7.495350
4,55,0.000000,0.631858,-7.495350
5,55,0.000000,0.631858,-7.564420
6,55,0.000000,0.631858,-7.409273
7,55,0.000000,0.656099,-7.409273
8,55,0.000000,0.657709,-7.409273
9,55,0.000000,0.657709,-7.409273
10,55,0.000000,0.670637,-7.409273
1,56,0.000000,0.516731,0.484123
2,56,0.000000,0.497006,0.212610
3,56,0.000000,0.538098,0.655952
4,56,0.000000,0.538098,0.845679
5,56,0.000000,0.538098,0.906150
6,56,0.000000,0.538098,0.906150
7,56,0.000000,0.562101,0.994052
8,56,0.000000,0.530391,0.432277
9,56,0.000000,0.530391,0.923184
10,56,0.000000,0.548180,0.615285
1,57,0.000000,0.035478,-0.598077
2,57,0.000000,0.035478,-0.598077
3,57,0.000000,0.022543,-0.542484
4,57,0.000000,0.022543,-0.467412
5,57,0.000000,0.022543,-0.467412
6,57,0.000000,0.015128,-0.401020
7,57,0.000000,0.015812,-0.601603
8,57,0.000000,0.026432,-0.601603
9,57,0.000000,0.026432,-0.601603
10,57,0.000000,0.072897,-0.144807
1,58,0.000000,-0.560666,-9.588546
2,58,0.000000,-0.552346,-9.588546
3,58,0.000000,-0.553857,-9.962566
4,58,0.000000,-0.553857,-9.665948
5,58,0.000000,-0.536695,-9.634296
6,58,0.000000,-0.546655,-9.162305
7,58,0.000000,-0.521518,-9.781328
8,58,0.000000,-0.543061,-9.461243
9,58,0.000000,-0.543061,-9.637612
10,58,0.000000,-0.550947,-9.339149
1,59,0.000000,0.130308,6.369684
2,59,0.000000,0.130308,6.435772
3,59,0.000000,0.117347,6.435772
4,59,0.000000,0.090309,6.439701
5,59,0.000000,0.144538,6.439701
6,59,0.000000,0.150822,6.596922
7,59,0.000000,0.150822,6.596922
8,59,0.000000,0.132607,6.596922
9,59,0.000000,0.132970,6.430836
10,59,0.000000,0.132970,6.720691
1,60,0.000000,0.688817,1.100195
2,60,0.000000,0.630274,1.100195
3,60,0.000000,0.630274,1.100195
4,60,0.000000,0.607780,1.100195
5,60,0.000000,0.607780,1.100195
6,60,0.000000,0.591551,1.122644
7,60,0.000000,0.591551,1.122644
8,60,0.000000,0.707259,0.975432
9,60,0.000000,0.732499,1.128928
10,60,0.000000,0.619280,1.115763
1,61,0.000000,0.558525,-7.163383
2,61,0.000000,0.558525,-7.189679
3,61,0.000000,0.558525,-7.189679
4,61,0.000000,0.605304,-7.164391
5,61,0.000000,0.580065,-7.164391
6,61,0.000000,0.580065,-7.164391
7,61,0.000000,0.580065,-7.164391
