iteration,completeLL,phase,estimate_a,estimate_alpha_pop,estimate_omega_alpha,estimate_omega_tau,estimate_p0_pop,estimate_tau_pop
220,-9007.81,1,0.010105,0.0431418,0.514523,7.41435,0.405104,74.4925
221,-8973.09,1,0.0101948,0.0431675,0.516421,7.44359,0.40456,74.5178
222,-9039.94,1,0.0100135,0.0430602,0.514525,7.40894,0.404099,74.4911
223,-9057.09,1,0.00997813,0.0430358,0.511099,7.38779,0.404263,74.4761
224,-9081.68,1,0.00990187,0.0430975,0.514813,7.36694,0.404469,74.4847
225,-9044.73,1,0.00999201,0.0430501,0.517848,7.40168,0.404437,74.5034
226,-9015.92,1,0.0100789,0.0429785,0.518572,7.37024,0.4044,74.4926
227,-9070.1,1,0.00994048,0.0430706,0.511628,7.38311,0.4044,74.5014
228,-9057.08,1,0.00995273,0.0431264,0.518636,7.4114,0.404534,74.4988
229,-9095.85,1,0.00984043,0.0431597,0.518928,7.42028,0.404739,74.5106
230,-9120.07,1,0.00976758,0.0430674,0.517116,7.47218,0.404684,74.5249
231,-9070.44,1,0.0099135,0.0430718,0.517563,7.43324,0.404647,74.5245
232,-9068.87,1,0.00992887,0.0433549,0.520177,7.33929,0.404272,74.4571
233,-9128.67,1,0.00977615,0.0434558,0.518129,7.28569,0.404167,74.4268
234,-9044.93,1,0.00998296,0.0434759,0.526571,7.32234,0.404218,74.4246
235,-9105.22,1,0.00980992,0.0434426,0.526662,7.33293,0.40374,74.3997
236,-9125.21,1,0.00978197,0.0433066,0.515552,7.34231,0.40413,74.4246
237,-9046.84,1,0.00999312,0.0433082,0.518706,7.35257,0.404126,74.4411
238,-9063.22,1,0.00995786,0.043237,0.516178,7.32934,0.403952,74.4284
239,-9045.41,1,0.0100006,0.043156,0.518188,7.34273,0.40334,74.4351
240,-9058.11,1,0.00997339,0.043263,0.513962,7.35597,0.403406,74.438
241,-9118.44,1,0.0097962,0.0431522,0.515252,7.3714,0.403404,74.4564
