rep,id,eta_p0,eta_alpha,eta_tau
8,46,0.000000,0.143659,-2.720051
9,46,0.000000,0.143659,-2.861560
10,46,0.000000,0.143659,-2.861560
1,47,0.000000,0.419889,1.774690
2,47,0.000000,0.454535,1.938811
3,47,0.000000,0.454535,1.957670
4,47,0.000000,0.454535,1.957670
5,47,0.000000,0.454535,1.957670
6,47,0.000000,0.442891,1.791659
7,47,0.000000,0.431018,1.893079
8,47,0.000000,0.460201,2.029361
9,47,0.000000,0.460201,2.029361
10,47,0.000000,0.444256,1.881623
1,48,0.000000,-0.336133,2.701576
2,48,0.000000,-0.359767,2.701576
3,48,0.000000,-0.320131,2.764341
4,48,0.000000,-0.320131,2.764341
5,48,0.000000,-0.320131,2.764341
6,48,0.000000,-0.341845,2.666898
7,48,0.000000,-0.341845,2.666898
8,48,0.000000,-0.343271,2.484710
9,48,0.000000,-0.343271,2.718251
10,48,0.000000,-0.343271,2.681575
1,49,0.000000,0.386837,5.571757
2,49,0.000000,0.285246,5.298939
3,49,0.000000,0.264419,5.298939
4,49,0.000000,0.377766,5.527376
5,49,0.000000,0.411659,5.669770
6,49,0.000000,0.405918,5.724518
7,49,0.000000,0.463345,5.724518
8,49,0.000000,0.476757,5.724518
9,49,0.000000,0.395661,5.724518
10,49,0.000000,0.411595,5.402268
1,50,0.000000,0.564311,2.528899
2,50,0.000000,0.564311,2.528899
3,50,0.000000,0.564311,2.467378
4,50,0.000000,0.564311,2.467378
5,50,0.000000,0.564311,2.467378
6,50,0.000000,0.557619,2.467378
7,50,0.000000,0.557619,2.467378
8,50,0.000000,0.557619,2.467378
9,50,0.000000,0.586129,2.662348
10,50,0.000000,0.586129,2.635221
1,51,0.000000,0.063466,-2.135060
2,51,0.000000,0.063466,-2.204346
3,51,0.000000,0.053210,-2.204346
4,51,0.000000,0.067809,-2.204346
5,51,0.000000,0.067809,-2.204346
6,51,0.000000,0.067809,-2.204346
7,51,0.000000,0.067809,-2.107198
8,51,0.000000,0.068463,-2.094362
9,51,0.000000,0.068463,-2.094362
10,51,0.000000,0.070065,-2.094362
1,52,0.000000,0.422857,-2.764270
2,52,0.000000,0.413786,-2.764270
3,52,0.000000,0.412323,-2.764270
4,52,0.000000,0.412323,-2.764270
5,52,0.000000,0.412323,-2.764270
6,52,0.000000,0.417418,-2.859383
7,52,0.000000,0.389791,-2.859383
8,52,0.000000,0.415586,-2.827032
9,52,0.000000,0.418449,-2.827032
10,52,0.000000,0.418449,-2.713708
1,53,0.000000,0.349484,-3.091040
2,53,0.000000,0.386486,-2.777513
3,53,0.000000,0.386486,-2.642108
4,53,0.000000,0.446236,-2.269636
5,53,0.000000,0.400077,-3.078238
6,53,0.000000,0.358565,-3.078238
7,53,0.000000,0.371755,-3.050886
8,53,0.000000,0.371755,-3.050886
9,53,0.000000,0.359010,-3.180034
10,53,0.000000,0.359010,-3.150981
1,54,0.000000,0.001717,3.121542
2,54,0.000000,-0.034737,2.774926
3,54,0.000000,-0.034737,2.774926
4,54,0.000000,-0.069001,2.774926
5,54,0.000000,-0.068624,2.974589
6,54,0.000000,-0.068892,2.725301
7,54,0.000000,-0.045327,2.678669
8,54,0.000000,-0.043037,3.179866
9,54,0.000000,-0.016076,3.200849
10,54,0.000000,-0.016076,3.456493
1,55,0.000000,0.601664,-5.382703
2,55,0.000000,0.601664,-5.382703
3,55,0.000000,0.601664,-5.382703
4,55,0.000000,0.601664,-5.382703
