rep,id,p0,alpha,tau
4,62,0.164594,0.055802,79.995024
5,62,0.164594,0.055802,79.995024
6,62,0.164594,0.055802,79.995024
7,62,0.164594,0.055802,79.995024
8,62,0.164594,0.054628,79.995024
9,62,0.164594,0.054628,79.995024
10,62,0.164594,0.054628,79.995024
1,63,0.164594,0.012612,57.141511
2,63,0.164594,0.012537,57.114306
3,63,0.164594,0.012802,57.114306
4,63,0.164594,0.012836,57.114306
5,63,0.164594,0.012631,57.114306
6,63,0.164594,0.012669,57.610739
7,63,0.164594,0.012625,57.133151
8,63,0.164594,0.013108,57.362102
9,63,0.164594,0.012792,56.999539
10,63,0.164594,0.012700,57.226918
1,64,0.164594,0.025701,68.416379
2,64,0.164594,0.025701,68.465874
3,64,0.164594,0.025990,68.777212
4,64,0.164594,0.025440,68.688191
5,64,0.164594,0.026129,68.710450
6,64,0.164594,0.026129,68.731318
7,64,0.164594,0.025602,68.478351
8,64,0.164594,0.025577,68.409332
9,64,0.164594,0.025864,68.348301
10,64,0.164594,0.025727,68.466361
1,65,0.164594,0.025066,75.435345
2,65,0.164594,0.025345,75.665401
3,65,0.164594,0.025528,75.472936
4,65,0.164594,0.024995,75.472936
5,65,0.164594,0.025335,75.507711
6,65,0.164594,0.025335,75.507711
7,65,0.164594,0.025266,75.661216
8,65,0.164594,0.025266,75.661216
9,65,0.164594,0.025266,75.452381
10,65,0.164594,0.024808,75.452381
1,66,0.164594,0.043899,69.136347
2,66,0.164594,0.045275,69.243136
3,66,0.164594,0.045219,69.110412
4,66,0.164594,0.044699,69.151641
5,66,0.164594,0.044699,69.151641
6,66,0.164594,0.044699,69.281947
7,66,0.164594,0.045357,69.281947
8,66,0.164594,0.045357,69.281947
9,66,0.164594,0.046198,69.354364
10,66,0.164594,0.046198,69.354364
1,67,0.164594,0.021420,83.046043
2,67,0.164594,0.021164,82.936491
3,67,0.164594,0.021011,82.654273
4,67,0.164594,0.021588,83.300531
5,67,0.164594,0.021087,83.745205
6,67,0.164594,0.019922,83.946667
7,67,0.164594,0.020827,83.757488
8,67,0.164594,0.021407,83.814302
9,67,0.164594,0.020857,83.670141
10,67,0.164594,0.020554,84.000507
1,68,0.164594,0.016154,69.927344
2,68,0.164594,0.016154,69.909094
3,68,0.164594,0.016154,69.963803
4,68,0.164594,0.016132,69.874198
5,68,0.164594,0.016132,69.874198
6,68,0.164594,0.016249,69.874198
7,68,0.164594,0.016063,69.786191
8,68,0.164594,0.016063,69.679877
9,68,0.164594,0.016063,69.834230
10,68,0.164594,0.015945,69.844661
1,69,0.164594,0.018812,71.113347
2,69,0.164594,0.018537,70.935589
3,69,0.164594,0.018193,70.998292
4,69,0.164594,0.017941,70.678472
5,69,0.164594,0.018408,70.925977
6,69,0.164594,0.019532,71.501742
7,69,0.164594,0.020062,71.784229
8,69,0.164594,0.020107,71.818144
