iteration,completeLL,phase,estimate_Tlag_pop,estimate_V_pop,estimate_a,estimate_alpha_pop,estimate_beta_pop,estimate_ka_pop,estimate_omega_Tlag,estimate_omega_V,estimate_omega_alpha,estimate_omega_beta,estimate_omega_ka
180,109.433,2,0.00208443,198.505,0.237367,11.6134,0.198289,0.735425,1.26441,0.660133,0.337911,0.111038,1.1071
181,109.338,2,0.00204456,195.657,0.236784,11.6763,0.199157,0.736514,1.27802,0.668829,0.341046,0.110279,1.11571
182,114.014,2,0.00202684,191.274,0.239343,11.7288,0.199912,0.697057,1.26969,0.673529,0.329906,0.112346,1.09762
183,110.018,2,0.00204754,188.687,0.239289,11.6257,0.199822,0.665229,1.3121,0.677177,0.324656,0.111746,1.08281
184,111.179,2,0.00191542,188.101,0.240502,11.6867,0.200144,0.642993,1.34546,0.66451,0.327812,0.10998,1.04481
185,109.223,2,0.00187939,187.034,0.239996,11.5737,0.199173,0.63493,1.36233,0.667204,0.339202,0.107323,1.02136
186,111.615,2,0.00187984,184.716,0.240752,11.6829,0.19926,0.631498,1.3277,0.660574,0.343458,0.107194,1.03552
187,105.376,2,0.00182513,183.937,0.240525,11.7363,0.198452,0.633211,1.30238,0.665274,0.33946,0.105537,1.03307
188,106.69,2,0.00194759,182.75,0.240041,11.8579,0.198809,0.629276,1.3198,0.656939,0.337092,0.105027,1.03147
189,109.851,2,0.00194459,182.548,0.240725,11.7678,0.200035,0.626976,1.32623,0.641959,0.336264,0.106754,1.0183
190,106.71,2,0.0019792,183.529,0.240596,11.8326,0.200771,0.628879,1.35842,0.638131,0.339346,0.104732,1.00058
191,102.197,2,0.00192151,182.012,0.239451,11.9067,0.200472,0.628164,1.36979,0.633606,0.336761,0.104035,1.00289
192,109.468,2,0.00192862,181.042,0.239315,12.0406,0.199827,0.632711,1.3722,0.633871,0.33589,0.105602,1.00238
193,99.86,2,0.00190028,182.448,0.239465,12.0162,0.200023,0.632784,1.35836,0.630832,0.333469,0.104058,0.98438
194,104.076,2,0.00189117,182.903,0.239197,12.1142,0.199969,0.629883,1.35829,0.633457,0.335797,0.105223,0.953339
195,105.699,2,0.00198154,182.874,0.239134,12.0766,0.200024,0.627953,1.36149,0.629372,0.33575,0.105856,0.95182
196,102.571,2,0.00191069,182.085,0.239409,12.0176,0.200244,0.624162,1.34376,0.624849,0.335581,0.106406,0.941372
197,98.1543,2,0.00190534,182.38,0.238783,12.0042,0.200084,0.628766,1.32569,0.622056,0.341355,0.106851,0.925615
198,99.3441,2,0.00189377,181.829,0.23851,12.0339,0.200149,0.630132,1.30299,0.620982,0.344083,0.107429,0.917648
199,108.486,2,0.00186623,183.006,0.238365,12.0299,0.199689,0.632671,1.33382,0.620236,0.34214,0.108553,0.915503
200,101.751,2,0.00183005,183.576,0.238171,12.0976,0.199425,0.639846,1.33072,0.619946,0.342124,0.108311,0.915376
201,103.908,2,0.00183421,183.748,0.238086,12.0996,0.19891,0.640726,1.33026,0.620862,0.342292,0.108213,0.915262
202,105.596,2,0.00183111,183.605,0.238103,12.0898,0.199121,0.644092,1.34051,0.617707,0.340218,0.108705,0.915499
203,107.091,2,0.00185204,183.866,0.238541,12.1208,0.199055,0.643404,1.34404,0.614225,0.34068,0.108356,0.914429
204,101.741,2,0.00188636,183.261,0.238747,12.1125,0.199216,0.639085,1.34446,0.611274,0.34053,0.107503,0.910745
205,103.276,2,0.00189694,183.076,0.238974,12.1106,0.199255,0.642985,1.34799,0.609662,0.340371,0.107246,0.903892
206,98.7441,2,0.00189178,182.96,0.239027,12.1212,0.199361,0.641838,1.3476,0.608164,0.340363,0.107177,0.901594
207,97.3773,2,0.00189136,183.327,0.239079,12.1292,0.199302,0.642818,1.3439,0.607962,0.340156,0.106942,0.899644
208,102.429,2,0.00188035,183.304,0.239056,12.1303,0.199286,0.6431,1.3439,0.607296,0.340205,0.10687,0.900207
209,95.664,2,0.00187751,183.357,0.239036,12.1409,0.199294,0.643834,1.34221,0.606599,0.339982,0.106675,0.899754
210,102.972,2,0.00189015,183.623,0.239041,12.1332,0.19921,0.643904,1.34151,0.606147,0.340393,0.106586,0.899754
211,100.287,2,0.00188743,183.873,0.238974,12.1294,0.199151,0.645374,1.34312,0.605432,0.339869,0.106676,0.900267
212,94.6625,2,0.00188277,183.874,0.2389,12.1285,0.199176,0.644807,1.34363,0.605267,0.338941,0.10668,0.89897
213,104.897,2,0.00187832,183.976,0.238879,12.1329,0.199166,0.644941,1.34284,0.60546,0.33875,0.107039,0.897985
